拍卖时间,投放数量,最低成交价,平均成交价,最低成交价截止时间,投标人数
2007年4月,5500,43300,43623,,10523
2007年5月,6000,44500,44853,,10273
2007年6月,6000,47200,47711,,11478
2007年7月,5500,45200,46581,,10327
2007年8月,8000,46500,46897,,12943
2007年9月,8500,48600,49631,,10561
2007年10月,7500,50500,51000,,10715
2007年11月,7500,53800,54317,,10596
2007年12月,7500,50000,56042,,10356
2008年1月,16000,8100,23370,11:16:05 第1位,20539
2008年3月,9300,31300,32169,11:23:00 第12位,63534
2008年4月,9000,37300,37659,11:29:59 第2位,37072
2008年5月,8200,34400,36047,11:29:53 第21位,26341
2008年6月,7700,33900,34947,11:29:57 第10位,21208
2008年7月,6800,33800,34491,11:29:32 第15位,16783
2008年8月,6000,35900,36460,11:29:32 第2位,13451
2008年9月,6500,29300,31788,11:29:24 第11位,11002
2008年10月,5000,32600,33224,11:29:28 第25位,11882
2008年11月,5500,21800,24351,11:29:47 第33位,10170
2008年12月,4500,31000,31665,11:29:36 第30位,16801
2009年1月,5200,28600,29399,11:29:50 第59位,16544
2009年2月,5200,33000,33394,11:29:37 第15位,16848
2009年3月,6000,26600,27552,11:29:39 第1位,18575
2009年4月,6500,28300,28724,11:29:45 第6位,17654
2009年5月,7200,28500,29100,11:29:34 第9位,16471
2009年6月,8000,30000,30363,11:29:47 第38位,17433
2009年7月,8000,32100,32522,11:29:27 第2位,17220
2009年8月,8000,36000,36231,11:29:52 第26位,18750
2009年9月,8500,27200,29500,11:29:57 第46位,14906
2009年10月,8000,33900,34402,11:29:45 第94位,22006
2009年11月,8000,34900,35317,11:29:56 第106位,21902
2009年12月,8000,36900,37593,11:29:56 第83位,18577
2010年1月,8000,37800,38311,11:29:34 第9位,18975
2010年2月,7500,38300,38620,11:29:39 第52位,18810
2010年3月,8000,39600,39882,11:29:18 第9位,17704
2010年4月,8500,41000,41637,11:29:57 第28位,17313
2010年5月,8500,41900,42262,11:29:51 第61位,16324
2010年6月,9200,39200,40380,11:29:45 第57位,16252
2010年7月,9000,38400,39362,11:29:49 第41位,13389
2010年8月,9000,39800,40169,10:57:19 第2位,16855
2010年9月,9000,41800,42180,10:59:41 第4位,15198
2010年10月,9000,43000,43271,11:29:38 第48位,14941
2010年11月,8500,44900,45291,11:29:59 第30位,13429
2010年12月,9000,10400,15970,11:21:39 第2位,11224
2011年1月,8000,38300,38771,11:29:59 第161位,30675
2011年2月,7500,44200,44627,11:29:46 第101位,25104
2011年3月,8000,46200,46657,11:29:39 第30位,25014
2011年4月,8000,46300,47399,11:29:53 第210位,22326
2011年5月,9000,47400,47700,11:29:53 第120位,25708
2011年6月,9000,48500,48855,10:59:54 第2位,22474
2011年7月,9000,50900,51174,11:29:52 第123位,21852
2011年8月,9000,51000,52228,11:29:56 第64位,21544
2011年9月,9500,52200,52622,10:56:27 第1位,22268
2011年10月,9000,53800,54008,11:29:53 第196位,19415
2011年11月,9000,45700,47635,11:29:46 第4位,20050
2011年12月,8500,51000,51437,11:29:51 第171位,26531
2012年1月,8000,52800,53195,11:29:55 第12位,24354
2012年2月,8000,55400,55632,11:29:59 第155位,23391
2012年3月,8000,58300,58625,11:29:45 第65位,24897
2012年4月,8500,61000,61626,11:29:57 第251位,22706
2012年5月,9300,64000,64367,10:56:29 第3位,24230
2012年6月,9500,55800,58227,11:29:45 第4位,24774
2012年7月,9500,57700,58271,11:29:53 第120位,26526
2012年8月,9500,62100,62559,11:29:54 第1位,21425
2012年9月,9500,65700,66425,11:29:57 第152位,19114
2012年10月,9500,65200,66708,11:29:48 第8位,19921
2012年11月,9500,66400,66946,11:29:52 第31位,19120
2012年12月,9300,68900,69346,11:29:21 第13位,18244
2013年1月,9000,75000,75332,11:29:40 第65位,20857
2013年2月,9000,83300,83571,11:29:59 第113位,24651
2013年3月,9000,90800,91898,11:29:44 第1位,23589
2013年4月,11000,83900,84101,11:27:04 第3位,26174
2013年5月,9000,80700,80803,11:29:26 第4位,22224
2013年6月,9000,77600,77823,11:21:22 第1位,21482
2013年7月,9000,76300,76465,11:29:22 第933位,21811
2013年8月,9000,74700,74939,11:29:24 第30位,22650
2013年9月,9000,73400,73492,11:29:54 第96位,35154
2013年10月,10000,82300,83723,11:29:56 第309位,28887
2013年11月,8500,75500,75717,11:29:34 第5位,38220
2013年12月,8500,76000,76093,11:29:50 第13位,39625
2014年1月,8100,73500,73501,11:29:59 第158位,41946
2014年2月,7400,73200,73357,11:29:44 第347位,45758
2014年3月,7400,73800,73872,11:29:48 第259位,61853
2014年4月,8200,74000,74113,11:29:45 第44位,94241
2014年5月,7400,74400,74503,11:29:48 第219位,114121
2014年6月,7400,73800,73896,11:29:45 第238位,135677
2014年7月,7400,74600,74680,11:29:59 第23位,136098
2014年8月,7400,73600,73785,11:29:44 第53位,121550
2014年9月,8300,73800,73875,11:29:52 第183位,122219
2014年10月,7400,74000,74075,11:29:59 第30位,105532
2014年11月,7400,73500,73633,11:29:50 第77位,95595
2014年12月,7447,73600,73687,11:29:56 第628位,96972
2015年1月,7990,74000,74216,11:02:48 第2位,98203
2015年2月,7653,76500,76618,11:29:49 第73位,103224
2015年3月,7406,74600,74830,11:20:16 第6位,132690
2015年4月,8288,80600,80759,11:29:41 第115位,152298
2015年5月,7482,79000,79099,11:29:53 第20位,156007
2015年6月,7441,80000,80020,11:29:59 第512位,172205
2015年7月,7531,83100,83171,11:29:55 第670位,166302
2015年8月,7454,82600,82642,11:29:58 第949位,166939
2015年9月,8727,82100,82172,11:29:58 第540位,165765
2015年10月,7763,85300,85424,11:29:52 第72位,170995
2015年11月,7514,84600,84703,11:29:56 第889位,169159
2015年12月,7698,84500,84572,11:29:57 第867位,179133
2016年1月,9409,82200,82352,11:29:46 第491位,187533
2016年2月,8363,83200,83244,11:29:58 第224位,196470
2016年3月,8310,83100,83148,11:29:57 第1040位,221109
2016年4月,11829,85100,85127,11:29:59 第1396位,256897
2016年5月,11598,85000,85058,11:29:58 第696位,277889
2016年6月,11546,84400,84483,11:29:54 第292位,275438
2016年7月,11475,87200,87235,11:29:57 第2457位,240750
2016年8月,11549,86900,86946,11:29:58 第3113位,251188
2016年9月,12889,86500,86523,11:29:59 第2864位,229544
2016年10月,11621,88300,88359,11:29:59 第759位,213212
2016年11月,11549,88600,88665,11:29:57 第2181位,215424
2016年12月,12261,88300,88412,11:29:54 第1512位,219882
2017年1月,12215,87600,87685,11:29:57 第4000位,232101
2017年2月,10157,88200,88240,11:29:58 第843位,251717
2017年3月,10356,87800,87916,11:29:55 第1476位,262010
2017年4月,12196,89800,89850,11:29:59 第154位,252273
2017年5月,10316,90100,90209,11:29:55 第1145位,270197
2017年6月,10312,89400,89532,11:29:45 第766位,244349
2017年7月,10325,92200,92250,11:29:57 第1471位,269189
2017年8月,10558,91600,91629,11:29:59 第1468位,256083
2017年9月,12413,91300,91415,11:29:56 第2101位,250566
2017年10月,11388,93500,93540,11:29:59 第2535位,244868
2017年11月,11002,93100,93130,11:29:59 第1025位,226911
2017年12月,12147,92800,92848,11:29:58 第3160位,228148
2018年1月,12183,87900,87936,11:29:59 第3045位,226316
2018年2月,11098,87600,87660,11:29:59 第410位,220831
2018年3月,9855,88100,88176,11:29:56 第2526位,217056
2018年4月,11916,86900,87089,11:29:12 第69位,204980
2018年5月,10216,89000,89018,11:29:59 第1375位,198627
2018年6月,10775,87800,87900,11:29:57 第2981位,209672
2018年7月,10395,88300,88380,11:29:57 第1221位,202337
2018年8月,10402,88300,88365,11:29:58 第1126位,192755
2018年9月,12712,87300,87410,11:29:57 第1791位,189142
2018年10月,10728,88000,88070,11:29:58 第797位,181861
2018年11月,11766,87300,87374,11:29:56 第173位,177355
2018年12月,12850,87400,87508,11:29:57 第1869位,165442
2019年1月,12832,89500,89565,11:29:58 第1191位,168614
2019年2月,8998,89400,89485,11:29:57 第4146位,163571
2019年3月,9020,89300,89348,11:29:58 第2389位,150523
2019年4月,9445,89700,89797,11:29:57 第1805位,169377
2019年5月,9626,89600,89633,11:29:59 第3444位,170794
2019年6月,9767,89600,89695,11:29:57 第2226位,164086
2019年7月,9200,90000,90119,11:29:56 第853位,164085
2019年8月,9249,89300,89408,11:29:57 第3085位,162756
2019年9月,8920,89600,89637,11:29:59 第1557位,149507
2019年10月,9093,89300,89376,11:29:54 第337位,148324
2019年11月,8058,90100,90198,11:29:57 第1579位,144995
2019年12月,7911,89600,89663,11:29:59 第10位,139074
2020年1月,8612,90500,90557,11:29:57 第1603位,131948
2020年2月,7966,90900,90941,11:29:59 第2369位,130962
